Time:,53:10.7,Samples,16,Size:,250,Cores:,16,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,std,Train MSE,Train std,H1,H2,Epochs,Batch Size,Learning rate,
0.023509133,0.002195038,0.035434472,0.006064632,8,4,513,200,0.000173807,
0.023793583,0.00268998,0.035948387,0.006131281,8,4,200,100,0.000325793,
0.02383334,0.004188358,0.04254299,0.007244127,6,2,529,400,0.000259172,
0.023838905,0.001985043,0.035088511,0.005037829,8,4,200,100,0.000326562,
0.0238417,0.004929163,0.045348763,0.022394955,8,2,324,100,0.000146091,
0.023956845,0.004476623,0.046992356,0.020101409,8,2,516,200,0.000137705,
0.02439239,0.004126772,0.035387411,0.003826024,4,4,200,400,0.001177971,
0.024438897,0.002594685,0.03534985,0.004627732,8,4,200,100,0.000328463,
0.024802753,0.004412253,0.041344418,0.008974367,10,2,256,400,0.000460774,
0.02485766,0.005259218,0.047798006,0.016312228,10,2,200,400,0.00067286,
0.025003904,0.007555047,0.035542941,0.002512036,2,4,200,100,0.000852707,
0.025035501,0.007874388,0.035658681,0.003121448,2,4,380,400,0.000921537,
0.025261016,0.004414395,0.047919735,0.013593275,8,4,527,300,0.000153282,
0.025399554,0.004584805,0.042901825,0.008623336,6,4,556,400,0.000201743,
0.025844709,0.004425891,0.053602753,0.027744821,8,2,608,400,0.00018942,
0.026733925,0.005764131,0.033711525,0.003868195,4,4,443,100,0.000245321,
0.026817968,0.00374891,0.049975452,0.013464391,6,2,571,200,0.000107535,
0.027144737,0.003918973,0.034151135,0.004683035,8,2,333,100,0.000253111,
0.027150271,0.005428236,0.042153857,0.005773122,4,4,365,100,0.000118013,
0.027396018,0.008395528,0.034967762,0.002213974,2,4,298,100,0.000568963,
0.027439131,0.003132454,0.050151808,0.015388643,8,2,406,200,0.000143541,
0.027599895,0.008496173,0.034001462,0.001980302,2,4,420,400,0.002578522,
0.027610487,0.004182998,0.059873644,0.03901415,6,2,602,400,0.000186219,
