Time:,54:30.1,Samples,12,Size:,250,Cores:,4,CPU:,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz
MSE,std,Train MSE,Train std,H1,H2,Epochs,Batch Size,Learning rate,
0.029192587,0.003460667,0.052145176,0.01844212,4,8,286,600,0.000417654,
0.029195431,0.004326162,0.042648271,0.008764732,4,8,217,600,0.00078303,
0.029208439,0.002974813,0.044931884,0.007487007,4,8,249,600,0.000495351,
0.029288039,0.003931211,0.041703085,0.005377251,4,8,292,600,0.000412743,
0.029454157,0.004909207,0.038111952,0.00137847,6,8,128,338,0.001159852,
0.02955393,0.005009596,0.050891274,0.032934321,4,4,243,600,0.000753436,
0.029681584,0.002701768,0.05032894,0.017808024,6,8,543,600,0.000168277,
0.02974389,0.004520049,0.042522286,0.007456887,4,4,229,600,0.000811999,
0.029804814,0.005446301,0.03942297,0.001723721,2,4,109,20,0.000177442,
0.029830728,0.003942266,0.040598429,0.003682651,4,4,255,600,0.000729699,
0.029848768,0.005658939,0.031935011,0.004265539,4,2,337,253,0.001190971,
0.029864472,0.004396071,0.04114888,0.002941365,4,8,272,600,0.00049892,
0.02994948,0.003917703,0.047668801,0.014626935,4,4,232,600,0.000794721,
0.029981911,0.001535154,0.049245696,0.013572042,8,4,502,294,0.0001,
0.030153129,0.0072604,0.037276311,0.002467617,2,2,671,112,0.000185028,
0.030189237,0.004606627,0.040000651,0.002642031,4,6,221,600,0.000670984,
0.030219357,0.003516754,0.056725434,0.018899177,8,2,135,358,0.000749536,
0.030242573,0.002048819,0.045518856,0.011462178,8,2,419,189,0.0001,
0.030264274,0.002878484,0.046049959,0.012619681,4,4,188,600,0.000787484,
0.030413836,0.004546325,0.044590156,0.006830751,4,4,795,520,0.000178015,
0.030638603,0.006650592,0.035313705,0.006767615,4,2,237,600,0.001897148,
0.03065294,0.000908834,0.079494187,0.053972693,4,2,278,134,0.0001,
0.030665388,0.001621089,0.045128539,0.005384751,6,4,528,462,0.000152842,
0.030667764,0.000294267,0.05320524,0.02842747,8,4,439,401,0.0001,
0.030716212,0.000631823,0.058139163,0.024255838,6,4,648,600,0.0001,
0.030748981,0.002642742,0.046127138,0.010413757,4,4,270,600,0.000502574,
0.030772349,0.000637772,0.055020501,0.023855492,8,4,553,469,0.0001,
0.030798801,0.001131673,0.04279011,0.004525077,4,4,283,406,0.000262009,
0.030871396,0.001100418,0.041308013,0.002476396,4,8,100,600,0.001106058,
0.03091832,0.002150001,0.046402878,0.008151412,4,8,278,600,0.000457579,
0.030979856,0.000302531,0.053467206,0.018847985,4,4,662,600,0.0001,
0.030988758,0.003190802,0.047195906,0.013087389,4,4,239,600,0.000735436,
0.031000362,0.001114546,0.042744204,0.003500281,2,4,116,189,0.000368944,
0.031056057,0.001362796,0.058234717,0.031590471,10,2,165,586,0.000460774,
0.031103581,0.000497573,0.064571811,0.033581948,6,4,489,600,0.0001,
0.031198443,0.000602124,0.045316575,0.005375362,6,8,100,523,0.000344509,
0.031208315,0.000391647,0.042096554,0.001961948,6,4,533,263,0.000107535,
0.03128797,0.000426878,0.047173858,0.007496591,4,8,100,133,0.0001,
0.031441358,0.005937006,0.058863161,0.025840904,2,2,119,600,0.002174566,
0.031466127,0.001519071,0.055985391,0.026014815,2,4,332,486,0.000168299,
0.03154449,0.001736933,0.093016666,0.088296167,6,2,100,600,0.000686479,
0.031882325,0.001379334,0.107981316,0.083048929,8,2,180,199,0.0001,
0.031960601,0.006164932,0.039160584,0.003921401,2,8,571,458,0.000332211,
0.031970495,0.001685092,0.072598361,0.062312599,4,2,100,600,0.001443849,
0.031983249,0.001599656,0.092312011,0.064105506,4,2,471,460,0.000109877,
0.032288713,0.002587908,0.045318416,0.008076312,2,4,281,381,0.000554263,
0.032327199,0.003259976,0.028577278,0.001206546,8,8,341,20,0.0001,
0.032893492,0.002000691,0.117924291,0.105292685,8,2,351,600,0.0001,
0.032909589,0.004619368,0.053065393,0.015180008,2,2,228,600,0.001404832,
0.032936719,0.001206004,0.0592845,0.024878279,4,4,100,600,0.000319447,
0.033051702,0.01431659,0.030837767,0.001596167,2,2,388,34,0.001980479,
0.033169686,0.004225875,0.03983724,0.002190257,2,6,285,367,0.000530111,
0.033530489,0.003603602,0.059369036,0.029046969,2,2,169,600,0.001516265,
0.033635995,0.001343542,0.0459927,0.005040863,2,6,106,262,0.000103417,
0.033671228,0.006136525,0.095712747,0.090307853,10,2,419,600,0.0001,
0.034044684,0.016491082,0.03075622,0.001335853,2,4,800,20,0.000574625,
0.034419192,0.008590035,0.027620679,0.001696223,4,6,384,39,0.000245321,
0.035353346,0.008952847,0.022045628,0.001312143,4,8,238,513,0.01621972,
0.03550846,0.009143456,0.033343875,0.007269967,4,2,209,572,0.002061531,
0.036579054,0.00816848,0.027735267,0.002984194,4,4,223,600,0.004099945,
0.037341702,0.007454689,0.029061963,0.004103765,4,2,100,403,0.012022025,
0.039301238,0.015845128,0.031129699,0.001911082,2,8,384,280,0.006322207,
0.039556315,0.008330437,0.026784687,0.003949783,4,4,401,463,0.002398825,
0.041493407,0.00722238,0.028835228,0.004718139,6,8,399,478,0.000773548,
0.042494994,0.007209281,0.026909733,0.00085243,10,6,472,118,0.000231964,
0.04255461,0.011265075,0.029361994,0.006068435,6,2,501,352,0.000910507,
0.044668694,0.015580461,0.031424738,0.001522895,2,2,232,80,0.012351824,
0.046382444,0.019242708,0.029404681,0.000723356,2,4,800,600,0.014299751,
0.047917516,0.016535279,0.028822471,0.005791129,6,2,471,472,0.001586756,
0.049538047,0.020903167,0.025897309,0.004839765,8,4,118,546,0.006450166,
0.051114993,0.02067731,0.028279593,0.003541175,10,6,434,533,0.000851298,
0.054896451,0.018202421,0.024933039,0.000864481,6,8,405,65,0.000328896,
0.05628279,0.017961375,0.019787017,0.000677132,4,2,543,64,0.002499799,
0.057468194,0.022524519,0.020910347,0.002992082,8,2,278,558,0.008491412,
0.060145801,0.02201887,0.02512182,0.003721126,8,4,250,123,0.000972195,
0.063076776,0.013415002,0.019363302,0.002160007,8,2,305,404,0.010947453,
0.067126948,0.037706736,0.020288908,0.002196106,6,2,386,428,0.013401118,
0.069017717,0.024642651,0.016407797,0.000723935,6,2,368,89,0.011547256,
0.074420825,0.033776977,0.02046345,0.003388662,6,6,496,350,0.003201287,
