Time:,33:21.3,Size:,10000,Cores:,32,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,
MSE,H1,H2,Epochs,Batch size,Learning rate,,,,,
0.03395618,4,2,200,150,0.1,,,,,
0.033957455,10,2,250,100,0.0004,,,,,
0.033968588,6,4,200,250,0.04,,,,,
0.033969228,6,4,100,200,0.04,,,,,
0.033971096,6,4,300,300,0.004,,,,,
0.033985444,6,4,25,1,0.0004,,,,,
0.033987424,2,4,150,100,0.0004,,,,,
0.034003462,6,2,10,300,0.04,,,,,
0.034006017,8,2,50,250,0.02,,,,,
0.034009175,4,2,150,25,0.02,,,,,
0.034010577,6,4,150,150,0.001,,,,,
0.034021417,10,2,100,300,0.002,,,,,
0.034036202,4,2,200,150,0.001,,,,,
0.034065945,8,2,10,100,0.01,,,,,
0.034093302,6,2,10,25,0.01,,,,,
0.034104126,8,4,300,250,0.1,,,,,
0.034114119,4,4,350,1,0.0002,,,,,
0.034124118,6,2,300,10,0.0004,,,,,
0.034132903,8,4,50,250,0.004,,,,,
0.034141826,10,2,25,100,0.04,,,,,
0.034149187,10,4,25,300,0.01,,,,,
0.034155916,4,2,150,200,0.002,,,,,
0.034158277,10,2,350,250,0.001,,,,,
0.034158671,6,2,10,10,0.02,,,,,
0.034180928,2,2,300,25,0.04,,,,,
0.034183885,8,2,10,200,0.04,,,,,
0.034208825,6,2,25,25,0.002,,,,,
0.034211765,4,4,100,1,0.02,,,,,
0.034216485,6,2,150,80,0.004,,,,,
0.034231965,4,4,250,250,0.04,,,,,
0.034245569,8,2,400,25,0.0002,,,,,
0.034251601,4,2,10,25,0.02,,,,,
0.034252537,6,2,250,25,0.0002,,,,,
0.034254317,6,4,25,300,0.1,,,,,
0.034259886,4,2,150,250,0.04,,,,,
0.034261247,2,4,350,300,0.001,,,,,
0.034265149,4,4,200,25,0.04,,,,,
0.034275349,8,2,300,100,0.02,,,,,
0.034276053,4,2,150,200,0.01,,,,,
0.034276283,10,4,25,200,0.004,,,,,
0.034302763,4,4,200,50,0.0002,,,,,
0.034305579,6,4,25,150,0.02,,,,,
0.034306796,6,4,50,250,0.02,,,,,
0.034310448,8,2,150,80,0.002,,,,,
0.034318027,8,2,25,1,0.0002,,,,,
0.034318033,8,4,200,10,0.0001,,,,,
0.034324392,8,2,50,80,0.01,,,,,
0.034331803,4,2,100,25,0.04,,,,,
0.034342959,8,2,25,200,0.01,,,,,
0.034351349,8,4,250,150,0.001,,,,,
0.034357151,10,4,50,10,0.004,,,,,
0.034357792,6,2,25,50,0.001,,,,,
0.03436719,6,2,200,25,0.0004,,,,,
0.034369685,8,4,100,250,0.001,,,,,
0.034379425,8,2,10,50,0.004,,,,,
0.034379444,6,2,300,50,0.02,,,,,
0.034383476,4,4,400,100,0.004,,,,,
0.034385935,6,4,300,150,0.002,,,,,
0.034392022,10,2,150,80,0.04,,,,,
0.034400019,8,2,150,50,0.02,,,,,
0.03440563,8,4,50,50,0.001,,,,,
0.03440752,8,2,200,200,0.0004,,,,,
0.034413071,6,2,100,50,0.04,,,,,
0.034418215,10,2,200,150,0.0004,,,,,
0.034420831,10,4,50,150,0.002,,,,,
0.03442143,6,2,100,250,0.002,,,,,
0.034478572,8,2,400,150,0.0004,,,,,
0.034480077,4,2,10,80,0.04,,,,,
0.034480219,4,2,200,80,0.02,,,,,
0.034492468,10,2,200,200,0.002,,,,,
0.034508819,6,4,350,10,0.0004,,,,,
0.034522987,8,4,50,200,0.002,,,,,
0.034527408,4,2,350,50,0.0001,,,,,
0.034530375,10,2,150,150,0.01,,,,,
0.034538627,4,2,100,10,0.04,,,,,
0.034545588,6,2,200,200,0.1,,,,,
0.034548894,6,2,150,1,0.0002,,,,,
0.034549315,4,4,250,25,0.1,,,,,
0.034559258,6,4,50,100,0.001,,,,,
0.034570253,2,4,400,50,0.0001,,,,,
0.034574183,4,4,25,100,0.01,,,,,
0.034576529,6,4,100,200,0.002,,,,,
0.034590247,10,2,100,100,0.1,,,,,
0.034592215,8,2,300,10,0.0004,,,,,
0.034596024,6,2,100,200,0.001,,,,,
0.034599422,10,4,300,100,0.0001,,,,,
0.034600832,8,4,300,300,0.0002,,,,,
0.034606796,6,4,350,300,0.0004,,,,,
0.034612769,10,4,10,200,0.004,,,,,
0.034622976,8,2,250,80,0.002,,,,,
0.034632703,4,4,150,1,0.0004,,,,,
0.034641068,6,2,350,100,0.0004,,,,,
0.034645591,4,2,400,200,0.02,,,,,
0.034651402,6,4,10,150,0.1,,,,,
0.034653,4,4,50,1,0.01,,,,,
0.034661988,8,4,400,200,0.0004,,,,,
0.034667763,6,2,250,80,0.002,,,,,
0.034674459,4,4,250,200,0.02,,,,,
0.034706649,6,4,300,150,0.01,,,,,
0.034715504,4,2,25,50,0.04,,,,,
0.034720603,6,2,400,25,0.002,,,,,
0.034721218,6,2,100,1,0.0001,,,,,
0.034724408,8,4,10,50,0.02,,,,,
0.034726925,6,4,10,300,0.04,,,,,
0.03473149,4,4,150,25,0.04,,,,,
0.034747042,8,4,300,200,0.0002,,,,,
0.034748645,8,2,25,100,0.004,,,,,
0.034752662,4,2,350,10,0.02,,,,,
0.034763465,6,4,25,10,0.01,,,,,
0.034769625,8,4,150,10,0.0001,,,,,
0.034772481,4,4,200,80,0.02,,,,,
0.034775009,8,2,300,25,0.04,,,,,
0.034776391,4,2,350,25,0.002,,,,,
0.034777373,8,2,10,10,0.01,,,,,
0.034781094,6,4,200,250,0.0004,,,,,
0.034785118,6,4,300,150,0.0004,,,,,
0.034796483,4,4,50,25,0.01,,,,,
0.034815368,4,4,50,150,0.002,,,,,
0.034823073,8,2,350,100,0.1,,,,,
0.03484017,6,2,50,25,0.001,,,,,
0.034842196,10,4,50,300,0.002,,,,,
0.0348472,8,4,400,50,0.0002,,,,,
0.034869044,8,2,10,200,0.02,,,,,
0.034873243,4,2,300,1,0.0001,,,,,
0.034875919,4,2,150,150,0.1,,,,,
0.034877463,6,4,100,100,0.001,,,,,
0.034879052,8,4,10,250,0.04,,,,,
0.034882994,8,4,50,25,0.002,,,,,
0.034887146,2,4,250,10,0.0002,,,,,
0.034890321,8,4,25,50,0.01,,,,,
0.034891567,4,2,10,80,0.02,,,,,
0.034896287,8,4,25,1,0.0002,,,,,
0.034897767,6,2,25,300,0.01,,,,,
0.034907024,10,2,300,200,0.0004,,,,,
0.034911889,6,2,25,80,0.01,,,,,
0.034916316,8,2,300,100,0.0004,,,,,
0.034931232,10,4,50,300,0.1,,,,,
0.034931654,8,2,300,10,0.0001,,,,,
0.034939929,10,4,150,50,0.001,,,,,
0.034943454,4,2,150,150,0.001,,,,,
0.034965178,4,2,300,200,0.001,,,,,
0.034967952,10,2,50,300,0.01,,,,,
0.034969989,4,2,150,1,0.0002,,,,,
0.034979583,6,2,250,80,0.0004,,,,,
0.034984772,8,4,300,50,0.02,,,,,
0.034999323,4,4,25,80,0.02,,,,,
0.035006313,4,2,150,100,0.02,,,,,
0.035007525,4,2,100,80,0.02,,,,,
0.035022388,8,4,25,10,0.01,,,,,
0.035038675,6,4,100,80,0.0004,,,,,
